CCM Code,Campus,Campus Name,College,College Name,Major,Major Name,Self Support,Subcampus Ind,Ugrad Req Units,UC Discp,UC Discipline Name,CIP Code,CIP Name,Major Long Name
0425714,04,Los Angeles,25,College Of Letters & Science,714,PREBUSINESS ECONOMICS,N,GENERAL CAMPUS,0,610,BUSINESS & MANAGEMENT,520601,Business/Managerial Economics.,PRE-BUSINESS ECONOMICS
0425717,04,Los Angeles,25,College Of Letters & Science,717,PRE-BACTERIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260503,Medical Microbiology and Bacteriology.,PRE-BACTERIOLOGY
0425718,04,Los Angeles,25,College Of Letters & Science,718,PRE-BIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260101,"Biology/Biological Sciences, General.",PRE-BIOLOGY
0425723,04,Los Angeles,25,College Of Letters & Science,723,PRE-DENTAL,N,GENERAL CAMPUS,0,890,HEALTH PROFESSIONS,511101,Pre-Dentistry Studies.,PRE-DENTAL
0425724,04,Los Angeles,25,College Of Letters & Science,724,PRE-CYBERNETICS,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",PRE-CYBERNETICS
0425725,04,Los Angeles,25,College Of Letters & Science,725,PRE-COGNITIVE SCIENCE,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,302501,"Cognitive Science, General.",PRE-COGNITIVE SCIENCE
0425728,04,Los Angeles,25,College Of Letters & Science,728,PRE-ECONOMICS,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450601,"Economics, General.",PRE-ECONOMICS
0425733,04,Los Angeles,25,College Of Letters & Science,733,PRE-MATH-COMPUTER SC,N,GENERAL CAMPUS,0,210,MATHEMATICS,270199,"Mathematics, Other.",PRE-MATHEMATICS - COMPUTER SCIENCE
0425735,04,Los Angeles,25,College Of Letters & Science,735,PRE-KINESIOLOGY,N,GENERAL CAMPUS,0,010,GENERAL OR UNCLASSIFIED,310505,Exercise Science And Kinesiology.,PRE-KINESIOLOGY
0425737,04,Los Angeles,25,College Of Letters & Science,737,PRE-MATHEMATICS,N,GENERAL CAMPUS,0,210,MATHEMATICS,270101,"Mathematics, General.",PRE-MATHEMATICS
0425739,04,Los Angeles,25,College Of Letters & Science,739,PRE-MICROBIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260502,"Microbiology, General.",PRE-MICROBIOLOGY
0425741,04,Los Angeles,25,College Of Letters & Science,741,PRE-NURSING,N,GENERAL CAMPUS,0,890,HEALTH PROFESSIONS,511105,Pre-Nursing Studies.,PRE-NURSING
0425742,04,Los Angeles,25,College Of Letters & Science,742,PRE ECON/BUSINESS,N,GENERAL CAMPUS,0,610,BUSINESS & MANAGEMENT,520601,Business/Managerial Economics.,PRE ECONOMICS/BUSINESS
0425743,04,Los Angeles,25,College Of Letters & Science,743,PRE ECON/INTL AREA STDS,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450605,International Economics.,PRE ECONOMICS/INTERNATIONAL AREA STUDIES
0425744,04,Los Angeles,25,College Of Letters & Science,744,PRE ECON/SYSTEM SCIENCE,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450699,"Economics, Other.",PRE ECONOMICS/SYSTEM SCIENCE
0425745,04,Los Angeles,25,College Of Letters & Science,745,PRE-MICROBIO &MOLEC GENET,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260502,"Microbiology, General.",PRE-MICROBIOLOGY & MOLECULAR GENETICS
0425750,04,Los Angeles,25,College Of Letters & Science,750,PRE-PHARMACY,N,GENERAL CAMPUS,0,890,HEALTH PROFESSIONS,511103,Pre-Pharmacy Studies.,PRE-PHARMACY
0425752,04,Los Angeles,25,College Of Letters & Science,752,PRE-POLITICAL SCIENCE,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,451001,"Political Science and Government, General.",PRE-POLITICAL SCIENCE
0425754,04,Los Angeles,25,College Of Letters & Science,754,PRE-PSYCHOLOGY,N,GENERAL CAMPUS,0,310,PSYCHOLOGY,420101,"Psychology, General.",PRE-PSYCHOLOGY
0425756,04,Los Angeles,25,College Of Letters & Science,756,PRE-PSYCHOBIOLOGY,N,GENERAL CAMPUS,0,310,PSYCHOLOGY,422706,Behavioral Neuroscience.,PRE-PSYCHOBIOLOGY
0425757,04,Los Angeles,25,College Of Letters & Science,757,PRE-STATISTICS,N,GENERAL CAMPUS,180,210,MATHEMATICS,270501,"Statistics, General.",PRE-STATISTICS
0425761,04,Los Angeles,25,College Of Letters & Science,761,AMERICAN LIT & CULTURE,N,GENERAL CAMPUS,0,430,LETTERS,231402,American Literature (United States).,AMERICAN LITERATURE & CULTURE
0425762,04,Los Angeles,25,College Of Letters & Science,762,EUROPEAN STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050106,European Studies/Civilization.,EUROPEAN STUDIES
0425765,04,Los Angeles,25,College Of Letters & Science,765,PRE-LINQUISTICS&COMP SCI,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160199,"Linguistic, Comparative, and Related Language Studies and Services, Other.",PRE-LINGUISTICS & COMPUTER SCIENCE
0425767,04,Los Angeles,25,College Of Letters & Science,767,PRE-HISTORY,N,GENERAL CAMPUS,0,430,LETTERS,540101,"History, General.",PRE-HISTORY
0425777,04,Los Angeles,25,College Of Letters & Science,777,PSYCHOBIOLOGY,N,GENERAL CAMPUS,0,310,PSYCHOLOGY,422706,Behavioral Neuroscience.,PSYCHOBIOLOGY
0425778,04,Los Angeles,25,College Of Letters & Science,778,MATHEMATICS/ECONOMICS,N,GENERAL CAMPUS,0,210,MATHEMATICS,270199,"Mathematics, Other.",MATHEMATICS/ECONOMICS
0425780,04,Los Angeles,25,College Of Letters & Science,780,PSYCHOLOGY,N,GENERAL CAMPUS,0,310,PSYCHOLOGY,420101,"Psychology, General.",PSYCHOLOGY
0425784,04,Los Angeles,25,College Of Letters & Science,784,"PSYCHOLOGY,QUANT",N,GENERAL CAMPUS,0,310,PSYCHOLOGY,429999,"Psychology, Other.",PSYCHOLOGY - QUANTITATIVE
0425792,04,Los Angeles,25,College Of Letters & Science,792,PUBLIC SERVICE,N,GENERAL CAMPUS,0,660,PUBLIC ADMIN & SOCIAL SERV PROF,449999,"Public Administration and Social Service Professions, Other.",PUBLIC SERVICE
0425818,04,Los Angeles,25,College Of Letters & Science,818,KOREAN,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160303,Korean Language and Literature.,KOREAN
0425819,04,Los Angeles,25,College Of Letters & Science,819,RUSSIAN,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160402,Russian Language and Literature.,RUSSIAN
0425821,04,Los Angeles,25,College Of Letters & Science,821,RUSSIAN CIVILIZATION,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050110,Russian Studies.,RUSSIAN CIVILIZATION
0425823,04,Los Angeles,25,College Of Letters & Science,823,RUSSIAN LINGUISTICS,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160402,Russian Language and Literature.,RUSSIAN LINGUISTICS
0425824,04,Los Angeles,25,College Of Letters & Science,824,RUSSIAN STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050110,Russian Studies.,RUSSIAN STUDIES
0425826,04,Los Angeles,25,College Of Letters & Science,826,RUSSIAN LANG&LITERATURE,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160402,Russian Language and Literature.,RUSSIAN LANGUAGE & LITERATURE
0425837,04,Los Angeles,25,College Of Letters & Science,837,SCANDINAVIAN LANG,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160502,"Scandinavian Languages, Literatures, and Linguistics.",SCANDINAVIAN LANGUAGES
0425846,04,Los Angeles,25,College Of Letters & Science,846,SLAVIC LANGUAGES,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160400,"Slavic Languages, Literatures, and Linguistics, General.",SLAVIC LANGUAGES
0425849,04,Los Angeles,25,College Of Letters & Science,849,SLAVIC LANG & LIT,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160400,"Slavic Languages, Literatures, and Linguistics, General.",SLAVIC LANGUAGES & LITERATURE
0425861,04,Los Angeles,25,College Of Letters & Science,861,SOC SCI-ELEM TCHR,N,GENERAL CAMPUS,0,620,EDUCATION,131317,Social Science Teacher Education.,SOCIAL SCIENCE - ELEMENTARY TEACHER
0425867,04,Los Angeles,25,College Of Letters & Science,867,SOCIOLOGY,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,451101,"Sociology, General.",SOCIOLOGY
0425870,04,Los Angeles,25,College Of Letters & Science,870,SOUTHEAST ASIAN STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050113,Southeast Asian Studies.,SOUTHEAST ASIAN STUDIES
0425878,04,Los Angeles,25,College Of Letters & Science,878,SPANISH & LINGUISTIC,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160905,Spanish Language and Literature.,SPANISH & LINGUISTICS
0425881,04,Los Angeles,25,College Of Letters & Science,881,SPANISH / PORTUGUESE,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,169999,"Foreign Languages, Literatures, and Linguistics, Other.",SPANISH / PORTUGUESE
0425882,04,Los Angeles,25,College Of Letters & Science,882,SPANISH,N,GENERAL CAMPUS,0,420,FOREIGN LANGUAGES & LITERATURE,160905,Spanish Language and Literature.,SPANISH
0425885,04,Los Angeles,25,College Of Letters & Science,885,SPEECH,N,GENERAL CAMPUS,0,670,"COMMUNICATION, JOURNALISM & REL",090101,Speech Communication and Rhetoric.,SPEECH
0425890,04,Los Angeles,25,College Of Letters & Science,890,STUDY OF RELIGION,N,GENERAL CAMPUS,0,430,LETTERS,380201,Religion/Religious Studies.,STUDY OF RELIGION
0425891,04,Los Angeles,25,College Of Letters & Science,891,STATISTICS,N,GENERAL CAMPUS,0,210,MATHEMATICS,270501,"Statistics, General.",STATISTICS
0425928,04,Los Angeles,25,College Of Letters & Science,928,WOMEN'S STUDIES,N,GENERAL CAMPUS,0,330,"AREA, ETHN, CULTUR & GENDER STU",050207,Women's Studies.,WOMEN'S STUDIES
0425932,04,Los Angeles,25,College Of Letters & Science,932,WORLD ARTS & CULTURE,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500799,"Fine Arts and Art Studies, Other.",WORLD ARTS & CULTURE
0425944,04,Los Angeles,25,College Of Letters & Science,944,UNDECLARED-LIFE SCIENCE,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260101,"Biology/Biological Sciences, General.",UNDECLARED - LIFE SCIENCE
0425945,04,Los Angeles,25,College Of Letters & Science,945,UNDECLARED-PHYSICAL SCI,N,GENERAL CAMPUS,0,230,PHYSICAL SCIENCES,400101,"Physical Sciences, General.",UNDECLARED - PHYSICAL SCIENCE
0425948,04,Los Angeles,25,College Of Letters & Science,948,UNDECLARED-SOCIAL SCIENCE,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450101,"Social Sciences, General.",UNDECLARED - SOCIAL SCIENCE
0425949,04,Los Angeles,25,College Of Letters & Science,949,UNDECLARED-HUMANITIES,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",UNDECLARED - HUMANITIES
0425991,04,Los Angeles,25,College Of Letters & Science,991,INTL DEVELOPMENT STUDIES,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450604,Development Economics and International Development.,INTERNATIONAL DEVELOPMENT STUDIES
0425994,04,Los Angeles,25,College Of Letters & Science,994,HUMAN GENETICS,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260806,Human/Medical Genetics.,HUMAN GENETICS
042599A,04,Los Angeles,25,College Of Letters & Science,99A,HUMAN BIOLOGY,N,GENERAL CAMPUS,180,020,INTERDISCIPLINARY STUDIES,302701,Human Biology.,HUMAN BIOLOGY
0466008,04,Los Angeles,66,School Of The Arts,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
0466090,04,Los Angeles,66,School Of The Arts,090,ART,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500701,"Art/Art Studies, General.",ART
0466093,04,Los Angeles,66,School Of The Arts,093,ART HISTORY,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500703,"Art History, Criticism and Conservation.",ART HISTORY
0466207,04,Los Angeles,66,School Of The Arts,207,DESIGN MEDIA ARTS,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500499,"Design and Applied Arts, Other.",DESIGN MEDIA ARTS
0466210,04,Los Angeles,66,School Of The Arts,210,DANCE,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500301,"Dance, General.",DANCE
0466222,04,Los Angeles,66,School Of The Arts,222,DESIGN,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500401,"Design and Visual Communications, General.",DESIGN
0466431,04,Los Angeles,66,School Of The Arts,431,HISTORY-ART HISTORY,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",HISTORY - ART HISTORY
0466453,04,Los Angeles,66,School Of The Arts,453,INDIVIDUAL FIELD,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,509999,"Visual and Performing Arts, Other.",INDIVIDUAL FIELD
0466472,04,Los Angeles,66,School Of The Arts,472,ETHNOMUSICOLOGY,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500905,Musicology and Ethnomusicology.,ETHNOMUSICOLOGY
0466579,04,Los Angeles,66,School Of The Arts,579,MUSIC,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500901,"Music, General.",MUSIC
0466902,04,Los Angeles,66,School Of The Arts,902,THEATER,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500501,"Drama and Dramatics/Theatre Arts, General.",THEATER
0466932,04,Los Angeles,66,School Of The Arts,932,WORLD ARTS & CULTURE,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500799,"Fine Arts and Art Studies, Other.",WORLD ARTS & CULTURE
0467008,04,Los Angeles,67,"School Of Theater, Film And Television",008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
0467009,04,Los Angeles,67,"School Of Theater, Film And Television",009,JOINT MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
0467453,04,Los Angeles,67,"School Of Theater, Film And Television",453,INDIVIDUAL FIELD,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,509999,"Visual and Performing Arts, Other.",INDIVIDUAL FIELD
0467473,04,Los Angeles,67,"School Of Theater, Film And Television",473,FILM & TELEVISION,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500601,Film/Cinema/Media Studies.,FILM & TELEVISION
0467575,04,Los Angeles,67,"School Of Theater, Film And Television",575,MOTION PICTURE-TV,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500601,Film/Cinema/Media Studies.,MOTION PICTURE-TV
0467902,04,Los Angeles,67,"School Of Theater, Film And Television",902,THEATER,N,GENERAL CAMPUS,180,410,FINE & APPLIED ARTS,500501,"Drama and Dramatics/Theatre Arts, General.",THEATER
0468002,04,Los Angeles,68,School Of The Arts & Architecture,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0468008,04,Los Angeles,68,School Of The Arts & Architecture,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
0468009,04,Los Angeles,68,School Of The Arts & Architecture,009,JOINT MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
0468090,04,Los Angeles,68,School Of The Arts & Architecture,090,ART,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500701,"Art/Art Studies, General.",ART
04680A1,04,Los Angeles,68,School Of The Arts & Architecture,0A1,ARCHITECTURAL STUDIES,N,GENERAL CAMPUS,0,630,ARCHITECTURE & ENVIRON DESIGN,040201,Architecture.,ARCHITECTURAL STUDIES
04680FT,04,Los Angeles,68,School Of The Arts & Architecture,0FT,CHOREOGRAPHIC INQUIRY,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500301,"Dance, General.",CHOREOGRAPHIC INQUIRY
0468207,04,Los Angeles,68,School Of The Arts & Architecture,207,DESIGN MEDIA ARTS,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500499,"Design and Applied Arts, Other.",DESIGN MEDIA ARTS
0468210,04,Los Angeles,68,School Of The Arts & Architecture,210,DANCE,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500301,"Dance, General.",DANCE
0468222,04,Los Angeles,68,School Of The Arts & Architecture,222,DESIGN,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500401,"Design and Visual Communications, General.",DESIGN
0468378,04,Los Angeles,68,School Of The Arts & Architecture,378,CULTURE AND PERFORMANCE,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",CULTURE AND PERFORMANCE
0468453,04,Los Angeles,68,School Of The Arts & Architecture,453,INDIVIDUAL FIELD,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,509999,"Visual and Performing Arts, Other.",INDIVIDUAL FIELD
0468472,04,Los Angeles,68,School Of The Arts & Architecture,472,ETHNOMUSICOLOGY,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500905,Musicology and Ethnomusicology.,ETHNOMUSICOLOGY
0468579,04,Los Angeles,68,School Of The Arts & Architecture,579,MUSIC,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500901,"Music, General.",MUSIC
0468932,04,Los Angeles,68,School Of The Arts & Architecture,932,WORLD ARTS & CULTURE,N,GENERAL CAMPUS,0,410,FINE & APPLIED ARTS,500799,"Fine Arts and Art Studies, Other.",WORLD ARTS & CULTURE
0475002,04,Los Angeles,75,School Of Dentistry,002,DOUBLE MAJOR,N,HEALTH SCIENCE,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0475003,04,Los Angeles,75,School Of Dentistry,003,TRIPLE MAJOR,N,HEALTH SCIENCE,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",TRIPLE MAJOR
0475009,04,Los Angeles,75,School Of Dentistry,009,JOINT MAJOR,N,HEALTH SCIENCE,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
0475219,04,Los Angeles,75,School Of Dentistry,219,DENTISTRY,N,HEALTH SCIENCE,0,830,DENTAL SCIENCES,510401,Dentistry.,DENTISTRY
0475555,04,Los Angeles,75,School Of Dentistry,555,DENTISTRY (INTL-SELFSUPP),Y,HEALTH SCIENCE,0,830,DENTAL SCIENCES,510401,Dentistry.,DENTISTRY (INTERNATIONAL SELF-SUPPORTING)
0475615,04,Los Angeles,75,School Of Dentistry,615,ORAL BIOLOGY,N,HEALTH SCIENCE,0,830,DENTAL SCIENCES,510501,"Dental Clinical Sciences, General.",ORAL BIOLOGY
0475715,04,Los Angeles,75,School Of Dentistry,715,POST D.D.S. PROGRAM,N,HEALTH SCIENCE,0,830,DENTAL SCIENCES,510501,"Dental Clinical Sciences, General.",POST D.D.S. PROGRAM
0475789,04,Los Angeles,75,School Of Dentistry,789,PUBLIC HEALTH,N,HEALTH SCIENCE,0,860,PUBLIC HEALTH,512299,"Public Health, Other.",PUBLIC HEALTH
0479009,04,Los Angeles,79,School Of Education,009,JOINT MAJOR,N,GENERAL CAMPUS,180,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
04790FW,04,Los Angeles,79,School Of Education,0FW,EDUC & SOCIAL TRANSFORM,N,GENERAL CAMPUS,180,620,EDUCATION,130901,Social and Philosophical Foundations of Education.,EDUCATION AND SOCIAL TRANSFORMATION
0479249,04,Los Angeles,79,School Of Education,249,EDUCATION,N,GENERAL CAMPUS,0,620,EDUCATION,130101,"Education, General.",EDUCATION
0479884,04,Los Angeles,79,School Of Education,884,SPECIAL ED-CSCLA,N,GENERAL CAMPUS,0,620,EDUCATION,131001,"Special Education And Teaching, General.",SPECIAL EDUCATION - CSCLA
0480002,04,Los Angeles,80,School Of Engineering & Applied Sci,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0480007,04,Los Angeles,80,School Of Engineering & Applied Sci,007,SPECIAL,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",SPECIAL
0480008,04,Los Angeles,80,School Of Engineering & Applied Sci,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
0480009,04,Los Angeles,80,School Of Engineering & Applied Sci,009,JOINT MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
0480193,04,Los Angeles,80,School Of Engineering & Applied Sci,193,COMPUTER SCI & ENGINEERNG,N,GENERAL CAMPUS,0,240,ENGINEERING,140901,"Computer Engineering, General.",COMPUTER SCIENCE & ENGINEERING
0480201,04,Los Angeles,80,School Of Engineering & Applied Sci,201,COMPUTER SCIENCE,N,GENERAL CAMPUS,0,220,COMPUTER & INFORMATION SCIENCES,110701,Computer Science.,COMPUTER SCIENCE
0480273,04,Los Angeles,80,School Of Engineering & Applied Sci,273,ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140101,"Engineering, General.",ENGINEERING
0480279,04,Los Angeles,80,School Of Engineering & Applied Sci,279,AEROSPACE ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,140201,"Aerospace, Aeronautical, And Astronautical/Space Engineering, General.",AEROSPACE ENGINEERING
0480288,04,Los Angeles,80,School Of Engineering & Applied Sci,288,BIOENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140501,Bioengineering and Biomedical Engineering.,BIOENGINEERING
0480289,04,Los Angeles,80,School Of Engineering & Applied Sci,289,BIOMEDICAL ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,140501,Bioengineering and Biomedical Engineering.,BIOMEDICAL ENGINEERING
0480294,04,Los Angeles,80,School Of Engineering & Applied Sci,294,CHEMICAL ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140701,Chemical Engineering.,CHEMICAL ENGINEERING
04802B0,04,Los Angeles,80,School Of Engineering & Applied Sci,2B0,UNDEC - ENG,N,GENERAL CAMPUS,180,240,ENGINEERING,140101,"Engineering, General.",UNDECLARED - ENGINEERING
0480300,04,Los Angeles,80,School Of Engineering & Applied Sci,300,CIVIL ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,140801,"Civil Engineering, General.",CIVIL ENGINEERING
0480302,04,Los Angeles,80,School Of Engineering & Applied Sci,302,COMPUTER ENGINEERING,N,GENERAL CAMPUS,180,240,ENGINEERING,140901,"Computer Engineering, General.",COMPUTER ENGINEERING
0480303,04,Los Angeles,80,School Of Engineering & Applied Sci,303,ELECTRICAL ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,141001,Electrical and Electronics Engineering,ELECTRICAL ENGINEERING
0480328,04,Los Angeles,80,School Of Engineering & Applied Sci,328,MAT SCI & ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,141801,Materials Engineering.,MATERIALS SCIENCE & ENGINEERING
0480330,04,Los Angeles,80,School Of Engineering & Applied Sci,330,MECH ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,141901,Mechanical Engineering.,MECHANICAL ENGINEERING
0480336,04,Los Angeles,80,School Of Engineering & Applied Sci,336,MATERIALS ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,141801,Materials Engineering.,MATERIALS ENGINEERING
0480342,04,Los Angeles,80,School Of Engineering & Applied Sci,342,NUCLEAR ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,142301,Nuclear Engineering.,NUCLEAR ENGINEERING
0480381,04,Los Angeles,80,School Of Engineering & Applied Sci,381,MANUFACTURING ENGR,N,GENERAL CAMPUS,0,240,ENGINEERING,143601,Manufacturing Engineering.,MANUFACTURING ENGINEERING
0480729,04,Los Angeles,80,School Of Engineering & Applied Sci,729,PRE-ENGINEERING,N,GENERAL CAMPUS,0,240,ENGINEERING,140101,"Engineering, General.",PRE-ENGINEERING
0484002,04,Los Angeles,84,School Of Law,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0484003,04,Los Angeles,84,School Of Law,003,TRIPLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",TRIPLE MAJOR
0484009,04,Los Angeles,84,School Of Law,009,JOINT MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
04840B1,04,Los Angeles,84,School Of Law,0B1,LAW-JURIDICAL SCIENCE,N,GENERAL CAMPUS,0,640,LAW,220299,"Legal Research and Advanced Professional Studies, Other.",LAW - JURIDICAL SCIENCE
04842F9,04,Los Angeles,84,School Of Law,2F9,LEGAL STUDIES MLST,Y,GENERAL CAMPUS,0,640,LAW,229999,"Legal Professions and Studies, Other.",LEGAL STUDIES MLST
0484501,04,Los Angeles,84,School Of Law,501,LAW,N,GENERAL CAMPUS,0,640,LAW,220101,Law.,LAW
048450B,04,Los Angeles,84,School Of Law,50B,LAW-LLM (SS),Y,GENERAL CAMPUS,0,640,LAW,220201,"Advanced Legal Research/Studies, General.",LAW - LLM (SS)
0485002,04,Los Angeles,85,School Of Medicine,002,DOUBLE MAJOR,N,HEALTH SCIENCE,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0485009,04,Los Angeles,85,School Of Medicine,009,JOINT MAJOR,N,HEALTH SCIENCE,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",JOINT MAJOR
048501Y,04,Los Angeles,85,School Of Medicine,01Y,MEDICINE-PRIME,N,HEALTH SCIENCE,0,810,MEDICAL SCIENCES,511201,Medicine.,MEDICINE-PRIME
0485040,04,Los Angeles,85,School Of Medicine,040,ANATOMY & CELL BIOLOGY,N,HEALTH SCIENCE,0,110,BIOLOGICAL SCIENCES,260407,Cell Biology and Anatomy.,ANATOMY AND CELL BIOLOGY
0485048,04,Los Angeles,85,School Of Medicine,048,ANATOMY,N,HEALTH SCIENCE,0,110,BIOLOGICAL SCIENCES,260403,Anatomy.,ANATOMY
